"faa","name","lat","lon","alt","tz","dst","city","country"
YPG,Southport Airport,49.903099,-98.273817,885,-6.0,A,Portage-la-prairie,Canada
YPL,Pickle Lake Airport,51.4463996887207,-90.21420288085938,1267,-5.0,A,Pickle Lake,Canada
YPN,Port Menier Airport,49.83639907836914,-64.2885971069336,167,-5.0,A,Port Menier,Canada
YPQ,Peterborough Airport,44.22999954223633,-78.36329650878906,628,-5.0,A,Peterborough,Canada
YPR,Prince Rupert Airport,54.2860984802,-130.445007324,116,-8.0,A,Prince Pupert,Canada
YPY,Fort Chipewyan Airport,58.7672004699707,-111.11699676513672,761,-7.0,A,Fort Chipewyan,Canada
YQA,Muskoka Airport,44.974700927734375,-79.30329895019531,925,-5.0,A,Muskoka,Canada
YQB,Quebec Jean Lesage International Airport,46.7911,-71.393303,244,-5.0,A,Quebec,Canada
YQF,Red Deer Regional Airport,52.18220138549805,-113.8939971923828,2968,-7.0,A,Red Deer Industrial,Canada
YQG,Windsor Airport,42.27560043334961,-82.95559692382812,622,-5.0,A,Windsor,Canada
YQH,Watson Lake Airport,60.11640167236328,-128.82200622558594,2255,-8.0,A,Watson Lake,Canada
YQK,Kenora Airport,49.78829956054688,-94.36309814453124,1332,-6.0,A,Kenora,Canada
YQL,Lethbridge County Airport,49.6302986145,-112.800003052,3048,-7.0,A,Lethbridge,Canada
YQM,Greater Moncton International Airport,46.11220169067383,-64.67859649658203,232,-4.0,A,Moncton,Canada
YQQ,Comox Airport,49.71080017089844,-124.88700103759766,84,-8.0,A,Comox,Canada
YQR,Regina International Airport,50.43190002441406,-104.66600036621094,1894,-6.0,N,Regina,Canada
YQT,Thunder Bay Airport,48.37189865112305,-89.32389831542969,653,-5.0,A,Thunder Bay,Canada
YQU,Grande Prairie Airport,55.1796989441,-118.885002136,2195,-7.0,A,Grande Prairie,Canada
YQV,Yorkton Municipal Airport,51.26470184326172,-102.46199798583984,1635,-6.0,N,Yorkton,Canada
YQW,North Battleford Airport,52.76919937133789,-108.24400329589844,1799,-6.0,N,North Battleford,Canada
YQX,Gander International Airport,48.9369010925293,-54.56809997558594,496,-3.5,A,Gander,Canada
YQY,Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798,203,-4.0,A,Sydney,Canada
YQZ,Quesnel Airport,53.026100158691406,-122.51000213623048,1789,-8.0,A,Quesnel,Canada
YRB,Resolute Bay Airport,74.7169036865,-94.9693984985,215,-6.0,A,Resolute,Canada
YRI,Rivière-du-Loup Airport,47.76440048217773,-69.58470153808594,427,-5.0,A,Riviere Du Loup,Canada
YRJ,Roberval Airport,48.52000045776367,-72.2656021118164,586,-5.0,A,Roberval,Canada
YRM,Rocky Mountain House Airport,52.4296989441,-114.903999329,3244,-7.0,A,Rocky Mountain House,Canada
YRT,Rankin Inlet Airport,62.8114013672,-92.1157989502,94,-6.0,A,Rankin Inlet,Canada
YSB,Sudbury Airport,46.625,-80.79889678955078,1141,-5.0,A,Sudbury,Canada
YSC,Sherbrooke Airport,45.4385986328125,-71.69139862060547,792,-5.0,A,Sherbrooke,Canada
YSJ,Saint John Airport,45.31610107421875,-65.89029693603516,357,-4.0,A,St. John,Canada
YSM,Fort Smith Airport,60.020301818847656,-111.96199798583984,671,-7.0,A,Fort Smith,Canada
YSR,Nanisivik Airport,72.982201,-84.613602,2106,-5.0,A,Nanisivik,Canada
YSU,Summerside Airport,46.44060134887695,-63.83359909057617,56,-4.0,A,Summerside,Canada
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,-125.242996216,282,-7.0,A,Sachs Harbour,Canada
YTE,Cape Dorset Airport,64.2300033569,-76.5267028809,164,-5.0,A,Cape Dorset,Canada
YTH,Thompson Airport,55.80110168457031,-97.86419677734376,729,-6.0,A,Thompson,Canada
YTR,CFB Trenton,44.118900299072266,-77.5280990600586,283,-5.0,A,Trenton,Canada
YTS,Timmins/Victor M. Power,48.5696983337,-81.376701355,967,-5.0,A,Timmins,Canada
YTZ,Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,252,-5.0,A,Toronto,Canada
YUB,Tuktoyaktuk Airport,69.43329620361328,-133.0260009765625,15,-7.0,A,Tuktoyaktuk,Canada
YUL,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,118,-5.0,A,Montreal,Canada
YUT,Repulse Bay Airport,66.5214004517,-86.22470092770001,80,-6.0,A,Repulse Bay,Canada
YUX,Hall Beach Airport,68.77610015869999,-81.2425,30,-5.0,A,Hall Beach,Canada
YUY,Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,988,-5.0,A,Rouyn,Canada
YVC,La Ronge Airport,55.1514015198,-105.262001038,1242,-6.0,N,La Ronge,Canada
YVG,Vermilion Airport,53.3558006287,-110.823997498,2025,-7.0,A,Vermillion,Canada
YVM,Qikiqtarjuaq Airport,67.5457992554,-64.03140258789999,21,-5.0,A,Broughton Island,Canada
YVO,Val-d'Or Airport,48.0532989502,-77.7827987671,1107,-5.0,A,Val D'or,Canada
YVP,Kuujjuaq Airport,58.096099853515625,-68.4269027709961,129,-5.0,A,Quujjuaq,Canada
YVQ,Norman Wells Airport,65.28160095214844,-126.7979965209961,238,-7.0,A,Norman Wells,Canada
YVR,Vancouver International Airport,49.193901062,-123.183998108,14,-8.0,A,Vancouver,Canada
YVT,Buffalo Narrows Airport,55.8418998718,-108.417999268,1423,-6.0,N,Buffalo Narrows,Canada
YVV,Wiarton Airport,44.7458,-81.107201,729,-5.0,A,Wiarton,Canada
YWA,Petawawa Airport,45.95220184326172,-77.31919860839844,427,-5.0,A,Petawawa,Canada
YWG,Winnipeg / James Armstrong Richardson International Airport,49.9099998474,-97.2398986816,783,-6.0,A,Winnipeg,Canada
YWK,Wabush Airport,52.92190170288086,-66.8644027709961,1808,-4.0,A,Wabush,Canada
YWL,Williams Lake Airport,52.1831016541,-122.054000854,3085,-8.0,A,Williams Lake,Canada
YWY,Wrigley Airport,63.20940017700195,-123.43699645996094,489,-7.0,A,Wrigley,Canada
YXC,Cranbrook/Canadian Rockies International Airport,49.610801696777,-115.78199768066,3082,-7.0,A,Cranbrook,Canada
YXD,Edmonton City Centre (Blatchford Field) Airport,53.5724983215,-113.521003723,2202,-7.0,A,Edmonton,Canada
YXE,Saskatoon John G. Diefenbaker International Airport,52.17079925537109,-106.6999969482422,1653,-6.0,N,Saskatoon,Canada
YXH,Medicine Hat Airport,50.01890182495117,-110.72100067138672,2352,-7.0,A,Medicine Hat,Canada
YXJ,Fort St John Airport,56.23809814453125,-120.73999786376952,2280,-7.0,A,Fort Saint John,Canada
YXL,Sioux Lookout Airport,50.11389923095703,-91.9052963256836,1258,-6.0,A,Sioux Lookout,Canada
YXP,Pangnirtung Airport,66.1449966431,-65.71360015869999,75,-5.0,A,Pangnirtung,Canada
YXR,Earlton (Timiskaming Regional) Airport,47.6974006546,-79.8473453522,800,-5.0,A,Earlton,Canada
YXS,Prince George Airport,53.8894004822,-122.679000854,2267,-8.0,A,Prince George,Canada
